player_id	year	player_name	School	POS	HT	WT	ARM	HAND	40 yd	vert	broad	explosive_score	SPEED	DYNAMIC SPEED
6427	2022	Rambo, Charleston	Miami	WR	6	177	32	9.75	4.57	33.5	9.833333333	0.667847222	-7.197729379	
6428	2000	Rameel Connor		EDGE	6.25	276			5	35.5	10.08333333	1.042053333	-3.195936887	
6429	2015	Ramik Wilson	Georgia	ILB	6.166666667	237			4.77	35	9.25	0.863128378	-3.296667279	
6430	2009	Ramon Foster		OT	6.416666667	328			5.57	26	7.666666667	0.900225108	-8.760592296	
6431	2007	Ramonce Taylor		RB	5.833333333	195			4.5	34	10.41666667	0.785107143	-1.830360318	
6432	2009	Ramses Barden	Cal Poly	WR	6.5	229	34.5	10.75	4.55	33.5	9.833333333	0.79758547	-1.321374613	
6433	2016	Ramsey, Jalen	Florida State	DS	6.083333333	209	33.38	9.5	4.41	41.5	11.25	0.926184932	1.030977276	-1.925298104
6434	2004	Ran Carthon		RB	6.083333333	215			4.51	34.5	9.333333333	0.791278539	-0.331563774	
6435	2011	Randall Cobb	Kentucky	WR	5.833333333	191	31	9.38	4.46	33.5	9.583333333	0.731711905	-1.550779944	-5.412583063
6436	2001	Randy Black		DS	6.083333333	205			4.74	35.5	9.583333333	0.77553653	-7.001713165	
6437	2002	Randy Fasani	Stanford	QB	6.333333333	224			4.77	31.5	8.833333333	0.735859649	-6.091325398	
6438	2015	Randy Gregory	Nebraska	OLB	6.416666667	235			4.64	36.5	10.41666667	0.890660173	-2.068918232	
6439	2004	Randy Jordan		DC	6.083333333	178			4.59	33.5	9.583333333	0.653885845	-7.907761037	
6440	2002	Randy McMichael	Georgia	TE	6.25	247			4.88	29.5	9.333333333	0.818942222	-4.699820466	
6441	2004	Randy Starks	Maryland	DT	6.333333333	314			5.03	29.5	8.5	0.979184211	0.598468569	
6442	1999	Randy Thomas	Mississippi State	OG	6.333333333	306			5	31	8.916666667	1.001881579	0.202326651	
6443	2016	Rankins, Sheldon	Louisville	DL	6.083333333	299	33.38	9.38	5.03	34.5	9.833333333	1.129100457	0.263364041	2.829366528
6444	2015	Rannell Hall	Central Florida	WR	6	198			4.6	41	11	0.8745	-4.495581654	-1.913477537
6445	2014	Rashaad Reynolds	Oregon St.	DC	5.833333333	189			4.51	37.5	10.25	0.79245	-3.008487351	-0.346134434
6446	2018	Rashaan Gaulden	Tennessee	DS	6.083333333	193			4.61	30		0.317260274	-5.939913342	-7.536549321
6447	2004	Rashad Baker		DS	5.916666667	204			4.5	36	9.75	0.805943662	-0.87851133	
6448	2002	Rashad Bauman	Oregon	DC	5.666666667	186			4.44	39	9.833333333	0.803264706	-1.021727434	
6449	2006	Rashad Butler	Miami (FL)	OT	6.416666667	293			5.32	28	0	0.426181818	-8.465291848	
6450	2021	Rashad Byrd	Georgia Southern	LB	6	229	31.75	10	4.85	34	9.5	0.855569444	-5.269631339	-7.58120175
6451	2011	Rashad Carmichael	Virginia Tech	DC	5.833333333	192	31.75	9	4.53	31	9.666666667	0.711314286	-2.985039726	
